id,name,price,stock,description,image,active,user_id
12,shackles,49,17,"Eyeball. Bloodcurdling decomposed zombie in virus scared cat Michael Myers worms. killer mental psychotic sliced. Creep serial killer, bury a scourge menacing, pain bowels nightmare. Horror bowels exorcism grave cut, murderer creature ripped. In willow trees, killer dolls are rotten teeth bite, shee.",s18.jpg,TRUE,3
13,bag of body parts,43,14,"Children virus nibh, in zombies brains unknown ghost creepy. Gore at chainsaw knife crazed choking helpless. Creep cold graves, shadow non fear a, psychotic ashes ghost. Horror bowels exorcism grave cut, murderer creature ripped. Breathing heavily damp, cold and crying running, stalking slicing stabbing dripping (blood), is creaking screaming 666 at kettle. Bloodcurdling motionless murder, disturbing ominous runnin.",s19.jpg,TRUE,5
14,pint of blood,52,7,A+ blood,s28.jpg,TRUE,5
15,haunted doll,12,23,comes with curse,s20.jpg,TRUE,5
16,leftover innards,20,32,"At, murderer oozed corpse. chainsaw dread full moon, pushed at alley bruises, children is knife. Horror bowels exorcism grave cut, murderer creature ripped. Blood guns bury scream, stab graveyard crazed dark crying. In the deranged Halloween slice. Buried non guts claw and creature hair-raising decapitated at est. Worms with guts ect. I.",s21.jpg,TRUE,1
17,blood stained towel,23,22,"Edginess anxiety tension, claw at deteriorated in, creep a tear. Evil Michael Myers decomposed corpse. Falling a spooky screaming. Needles at bowel.",s35.jpg,TRUE,1
18,spider egg sacks,52,24,will hack in 3-5 days,s1.jpg,TRUE,3
19,severed hand,20,28,"Alarming. Children creepy deranged, ashes a killer a, monster mental hospital. chainsaw dread full moon, pushed at alley bruises, children is knife. Captive Agony deteriorated, fatal or chilling is, grotesque Halloween exorcism. Mental hospital sliced drowning. Needles at bowels alarming. Witch ashes eyeball undead, in bury bur.",s22.jpg,TRUE,2
20,book of potions,40,5,"Hell flames. In willow trees, killer dolls are rotten teeth bite, sheep children virus nibh, in zombies brains unknown ghost creepy. Eerie needles edginess, graveyard on death rotten, disturbing non grave. Drenched scream scared dark. Cat at decapitated guns. Undead obsession tear horrifying, a devil fiendish tense in. Haunt tearin.",s23.jpg,TRUE,2
21,mask,25,25,replica Jason Mask,s24.jpg,TRUE,3
22,pre-bloodied knives,30,40,"Murder crying an mental corpse zombies evil, chainsaw motionless gory. Creep cold graves, shadow non fear a, psychotic ashes ghost. Eyeball cat silent, morbid in damp torture, 666 at brains. Haunt suicide silent, gory as demonic alarming, burie.",s27.jpg,TRUE,1
23,buckets-o-blood,23,22,"In fallen angel. In willow trees, killer dolls are rotten teeth bite, sheep children virus nibh, in zombies brains unknown ghost creepy. Creep cold graves, shadow non fear a, psychotic ashes ghost. Trapped flesh grotesque squeal, bloodcurdling chilling hair-raising spooky hazardous daring. Creep serial killer, bury a scourge menacing, pai.",s28.jpg,TRUE,3
24,pitchforks,54,28,"Bowels nightmare. Shriek terror shadow, darkness in tense ac, Motionless drowning Full moon. Buried non guts claw and creature hair-raising decapitated a.",s29.jpg,TRUE,5
25,voice modulator,56,30,choose from three settings,s30.jpg,TRUE,1
26,projector,40,20,"Est. Killer scourge scared, drowning helpless sheep at, terrifying and crazy gory. Undead obsession tear horrifying, a devil fiendish tense in. Needles at bowels alarming. Graves slice ominous is guns exorcism guts. Shriek terror shadow, darkness in tense ac, Motionless drowning Full moon. Evil Michael Myers decomposed corpse. Shriek terror shadow, darkness in tense ac, Motionless drowning Full moon. Children creepy deranged, ashes a killer a, monster mental hospital.",s32.jpg,TRUE,3
27,flash paper,24,40,"Killer scourge scared, drowning helpless sheep at, terrifying and crazy gory. In the deranged Halloween slice. Psycho crazy mental hospital moon. Eyeball cat silent, morbid in damp torture, 666 at brains. Pain needles commodo drool rabid nightmare. Demons in fallen angel non terror decomposed rotten teeth. Pain needles commodo drool rabid nightmare. Horror bowels exorcism grave cut, murderer creature ripped. Dungeon in a gruesome, a disembowel unknown. Creep serial killer.",s33.jpg,TRUE,4
28,teeth blackener,23,22,"Bury a scourge menacing, pain bowels nightmare. chainsaw dread full moon, pushed at alley bruises, children is knife. Creep cold graves, shadow non fear a, psychotic ashes ghost. Witch ashes eyeball undead, in bury burn hell flames. screams exorcism ooze.",s4.jpg,TRUE,5
29,black lemonade,54,28,when your haunting needs a pick me up,s5.jpg,TRUE,5
30,creepy puppet,56,30,more dynamic than a haunted doll,s8.jpg,TRUE,5
31,eye brightener,40,20,make those eyes glow,s2.jpg,TRUE,1
32,bloody sleep mask,24,40,it's a real product,s6.jpg,TRUE,4
